"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","South Australia : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Victoria : Conservation Status","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status: Priority 4","Western Australia : Conservation status: Priority 3","Western Australia : Conservation status: Priority 2","Western Australia : Conservation status: Priority 1","Weeds of National Significance (WoNS) as at Feb. 2013","WA State Notifiable Pests","Key Australian weed species list (ABS)","VIC State Notifiable Pests"
"https://id.biodiversity.org.au/taxon/apni/51285996","Acacia pubescens","(Vent.) R.Br.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia","Downy Wattle","5048","","","","Vulnerable","","","Vulnerable","","","","","","","",""
"https://id.biodiversity.org.au/taxon/apni/51737689","Asparagus aethiopicus","L.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Asparagus","Asparagus Fern","1093","","","","","","","","","","","","Y","","Y","Y"
"https://id.biodiversity.org.au/taxon/apni/51448660","Lantana camara","L.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Verbenaceae","Lantana","Lantana","648","","","","","","","","","","","","Y","Y","Y",""
"https://id.biodiversity.org.au/taxon/apni/51742826","Chrysanthemoides monilifera","(L.) Norl.","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Chrysanthemoides","Boneseed","610","","","","","","","","","","","","","","",""
"https://id.biodiversity.org.au/node/apni/2915438","Cestrum parqui","L'Hér.","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Cestrum","Green Poison-berry","587","","","","","","","","","","","","","","",""
"https://id.biodiversity.org.au/node/apni/2890667","Alternanthera philoxeroides","(Mart.) Griseb.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alligator Weed","540","","","","","","","","","","","","Y","","Y",""
"https://id.biodiversity.org.au/taxon/apni/51689056","Leichhardtia viridiflora","(R.Br.) P.I.Forst.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Apocynaceae","Leichhardtia","","461","","","","","","","","","","","","","","",""
"https://id.biodiversity.org.au/node/apni/2900262","Hibbertia puberula","Toelken","species","Plantae","Charophyta","Equisetopsida","","Dilleniaceae","Hibbertia","","431","","","","","","","Endangered","","","","","","","",""
"https://id.biodiversity.org.au/node/apni/2900893","Pimelea spicata","R.Br.","species","Plantae","Charophyta","Equisetopsida","Malvales","Thymelaeaceae","Pimelea","Spiked Rice-flower","327","","","","Endangered","","","Endangered","","","","","","","",""
"https://id.biodiversity.org.au/taxon/apni/51749236","Anredera cordifolia","(Ten.) Steenis","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Basellaceae","Anredera","Madeira Vine","327","","","","","","","","","","","","Y","","Y",""
"https://id.biodiversity.org.au/node/apni/2895458","Asparagus asparagoides","(L.) W.Wight","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Asparagus","Bridal Creeper","307","","","","","","","","","","","","Y","Y","Y","Y"
"https://id.biodiversity.org.au/node/apni/2904297","Pittosporum undulatum","Vent.","species","Plantae","Charophyta","Equisetopsida","Apiales","Pittosporaceae","Pittosporum","Sweet Pittosporum","278","","","","","","","","","","","","","","",""
"https://id.biodiversity.org.au/node/apni/2902574","Olea europaea","L.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Oleaceae","Olea","Common Olive","259","","","","","","","","","","","","","","",""
"https://id.biodiversity.org.au/taxon/apni/51741635","Bidens pilosa","L.","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Bidens","Cobbler's Pegs","239","","","","","","","","","","","","","","",""
"https://id.biodiversity.org.au/node/apni/2916956","Microlaena stipoides","(Labill.) R.Br.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Microlaena","Weeping Grass","232","","","","","","","","","","","","","","",""
