"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co66","John T. Waterhouse Herbarium","","Records provided by John T. Waterhouse Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co66","","","","102"
"co64","The University of Melbourne Herbarium","","Records provided by The University of Melbourne Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co64","","","","7"
"co65","N.C.W. Beadle Herbarium","","Records provided by N.C.W. Beadle Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co65","","","","47"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","48"
"co60","Tasmanian Herbarium","","Records provided by Tasmanian Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co60","","","","1"
"dr1010","ClimateWatch","10.15468/xlx9o4","Records provided by ClimateWatch, accessed through ALA website.","Data accessed from ClimateWatch can be cited in the following format:
ClimateWatch <YEAR> <SPECIES> <START DATE> - <END DATE> 
Data set accessed <DATE> http://www.climatewatch.org.au.","For more information: https://collections.ala.org.au/public/show/dr1010","","","","138"
"dr27665","NSW Biosecurity Information System - Weeds","10.15468/ctvmns","NSW Department of Primary Industries (2024) and Regional Development. Weed location data collected by Local Control Authorities for Weeds under Section 371(e) of the NSW Biosecurity Act 2015 and submitted to NSW Department of Primary Industries and Regional Development into the Biosecurity Information System (BIS - Weeds) in line with the NSW BIS Weeds Data Standard (November 2021)","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr27665","Location obscured for privacy","","","3680"
"in63","University of New South Wales","","Records provided by University of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in63","","","","102"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","5273"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","2"
"in65","University of New England","","Records provided by University of New England, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in65","","","","47"
"in21","Royal Botanic Gardens Victoria","","Records provided by Royal Botanic Gardens Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in21","","","","10"
"dr30434","United Herbaria of the University and ETH Zurich","10.15468/tjvqci","Nyffeler R, Guggisberg A (2025). United Herbaria of the University and ETH Zurich. Version 1.1379. United Herbaria of the University and ETH Zurich (Z+ZT). Occurrence dataset https://doi.org/10.15468/tjvqci accessed via GBIF.org on 2025-02-24.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30434","","","","3"
"in67","Australian Tropical Herbarium","","Records provided by Australian Tropical Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in67","","","","48"
"in26","The University of Melbourne","","Records provided by The University of Melbourne, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in26","","","","7"
"in25","Tasmanian Museum and Art Gallery","","Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in25","","","","1"
"dp47","Australian Seed Bank Partnership","","Records provided by Australian Seed Bank Partnership, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp47","","","","79"
"co55","National Herbarium of Victoria","","Records provided by National Herbarium of Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co55","","","","10"
"co12","Australian National Herbarium","","Records provided by Australian National Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co12","","","","121"
"dr15772","Janet Cosh Herbarium (WOLL) AVH data","10.15468/vqth7r","Records provided by Janet Cosh Herbarium (WOLL) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15772","","","","84"
"co54","National Herbarium of New South Wales","","Records provided by National Herbarium of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co54","","","","483"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","129"
"co186","PlantBank","","Records provided by PlantBank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co186","","","","15"
"dp2048","ClimateWatch","","Records provided by ClimateWatch, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp2048","","","","138"
"dr30606","Academy of Natural Sciences of Drexel University","10.15468/s55f2k","Academy of Natural Sciences (2025). Academy of Natural Sciences of Drexel University. Occurrence dataset https://doi.org/10.15468/s55f2k accessed via GBIF.org on 2025-03-11.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30606","","","","1"
"dr30409","G. S. Torrey Herbarium at the University of Connecticut (CONN)","10.15468/w35jmd","http://bgbaseserver.eeb.uconn.edu/","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30409","","","","1"
"dr23110","Australian PlantBank","10.15468/966wqr","Records provided by Australian PlantBank, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr23110","","","","79"
"in50","The Royal Botanic Gardens & Domain Trust","","Records provided by The Royal Botanic Gardens & Domain Trust, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in50","","","","498"
"in5","Centre for Australian National Biodiversity Research","","Records provided by Centre for Australian National Biodiversity Research, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in5","","","","121"
"dr376","National Herbarium of Victoria (MEL) AVH data","10.15468/rhzrxw","Records provided by National Herbarium of Victoria (MEL) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr376","","","","10"
"in113","Auckland War Memorial Museum","","Records provided by Auckland War Memorial Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in113","","","","1"
