"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co66","John T. Waterhouse Herbarium","","Records provided by John T. Waterhouse Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co66","","","","133"
"co64","The University of Melbourne Herbarium","","Records provided by The University of Melbourne Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co64","","","","7"
"co65","N.C.W. Beadle Herbarium","","Records provided by N.C.W. Beadle Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co65","","","","70"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","35"
"co60","Tasmanian Herbarium","","Records provided by Tasmanian Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co60","","","","2"
"dr1010","ClimateWatch","10.15468/xlx9o4","Records provided by ClimateWatch, accessed through ALA website.","Data accessed from ClimateWatch can be cited in the following format:
ClimateWatch <YEAR> <SPECIES> <START DATE> - <END DATE> 
Data set accessed <DATE> http://www.climatewatch.org.au.","For more information: https://collections.ala.org.au/public/show/dr1010","","","","175"
"in70","La Trobe University","","Records provided by La Trobe University, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in70","","","","5"
"dr27665","NSW Biosecurity Information System - Weeds","10.15468/ctvmns","NSW Department of Primary Industries (2024) and Regional Development. Weed location data collected by Local Control Authorities for Weeds under Section 371(e) of the NSW Biosecurity Act 2015 and submitted to NSW Department of Primary Industries and Regional Development into the Biosecurity Information System (BIS - Weeds) in line with the NSW BIS Weeds Data Standard (November 2021)","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr27665","Location obscured for privacy","","","4873"
"in63","University of New South Wales","","Records provided by University of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in63","","","","133"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","8501"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","13"
"dr5018","WCPS Bird Survey Project","10.15468/efbic6","WCPS Bird Survey Project (https://biocollect.ala.org.au/acsa/project/index/abdd9f05-a757-420b-85a6-3e8ae31c2d4f)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr5018","","","","9"
"in65","University of New England","","Records provided by University of New England, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in65","","","","70"
"in21","Royal Botanic Gardens Victoria","","Records provided by Royal Botanic Gardens Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in21","","","","37"
"dr30434","United Herbaria of the University and ETH Zurich","10.15468/tjvqci","Nyffeler R, Guggisberg A (2025). United Herbaria of the University and ETH Zurich. Version 1.1379. United Herbaria of the University and ETH Zurich (Z+ZT). Occurrence dataset https://doi.org/10.15468/tjvqci accessed via GBIF.org on 2025-02-24.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30434","","","","2"
"in67","Australian Tropical Herbarium","","Records provided by Australian Tropical Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in67","","","","66"
"in26","The University of Melbourne","","Records provided by The University of Melbourne, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in26","","","","7"
"in25","Tasmanian Museum and Art Gallery","","Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in25","","","","2"
"co55","National Herbarium of Victoria","","Records provided by National Herbarium of Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co55","","","","37"
"co12","Australian National Herbarium","","Records provided by Australian National Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co12","","","","154"
