"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp36","Australia's Virtual Herbarium","","Records provided by Australia's Virtual Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp36","","","","568"
"co256","Otago Regional Herbarium","","Records provided by Otago Regional Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co256","","","","1546"
"co66","John T. Waterhouse Herbarium","","Records provided by John T. Waterhouse Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co66","","","","27"
"co254","Dame Ella Campbell Herbarium","","Records provided by Dame Ella Campbell Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co254","","","","6"
"dr15860","Centre for Australian National Biodiversity Research (CANB) AVH data","10.15468/xycuk7","Records provided by Centre for Australian National Biodiversity Research (CANB) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15860","","","","3"
"co64","The University of Melbourne Herbarium","","Records provided by The University of Melbourne Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co64","","","","1"
"co250","University of Canterbury Herbarium","","Records provided by University of Canterbury Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co250","","","","15345"
"co9","Australian Museum Entomology Collection","","Records provided by Australian Museum Entomology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co9","","","","3"
"co216","Herbarium of the Museum of New Zealand Te Papa Tongarewa","","Records provided by Herbarium of the Museum of New Zealand Te Papa Tongarewa, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co216","","","","11"
"in92","Landcare Research NZ Ltd","","Records provided by Landcare Research NZ Ltd, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in92","","","","58814"
"co214","Allan Herbarium","","Records provided by Allan Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co214","","","","58814"
"in120","University of Otago","","Records provided by University of Otago, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in120","","","","1546"
"in63","University of New South Wales","","Records provided by University of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in63","","","","27"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Records provided by Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Australian Museum,https://australian.museum/ Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr340","","","","3"
"in21","Royal Botanic Gardens Victoria","","Records provided by Royal Botanic Gardens Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in21","","","","537"
"in26","The University of Melbourne","","Records provided by The University of Melbourne, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in26","","","","1"
"co55","National Herbarium of Victoria","","Records provided by National Herbarium of Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co55","","","","537"
"co12","Australian National Herbarium","","Records provided by Australian National Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co12","","","","3"
