"dataResourceUid","dataResourceName","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","associatedOccurrences","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","subfamily","eventType","measurementRemarks","measurementValue","relationshipRemarks","superfamily","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr1010","ClimateWatch","","","","CC-BY 3.0 (Int)","","","","","","","","","","","","OBSERVATION","","","{""Phenophase/Behaviour"":""Leaves open""}","","59c6e32e94cf705415000399","","","4","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2017-09-24T08:43:23Z","","267","267","2017","9","24","","Urban,Near an artificial water source","","","","","","","","","","","","","Australia","AU","New South Wales","","","","","","","","","","","","","","","-33.909043","150.975567","EPSG:4326","1000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English Oak","","","","","","","","","","","","","https://id.biodiversity.org.au/taxon/apni/51771673","Quercus robur","Quercus robur","","","","","","","","Plantae","Charophyta","Equisetopsida","Fagales","Fagaceae","Quercus","","","","species","","L.","English Oak","","","","","","","","","Quercus robur","","","","","","","","","","Published dataset","","4a5491b0-7af8-4be7-8bf2-b2cfc77ea089","","","","","","","","","","",""
"dr1411","iNaturalist Australia","702ce113-409f-4728-9b01-d4e29a0d5195","2026-02-08T11:09:18Z","","CC-BY 4.0 (Int)","Thomas Mesaglio","","","https://www.inaturalist.org/observations/43543949","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/43543949","43543949","","Thomas Mesaglio","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2020-04-26T10:31:18Z","10:31:18+10:00","117","117","2020","4","26","Sun Apr 26 2020 10:31:18 GMT+1000 (GMT+10)","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Garrison Point Reserve and surrounds, Mirambeena Regional Park, Georges Hall, Sydney, New South Wales","","","","","","","","","","","-33.907253","150.973542","EPSG:4326","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267422820","","","Thomas Mesaglio","2022-06-06T12:01:33Z","","research","","52930","","","","","","https://id.biodiversity.org.au/node/apni/2907916","Commelina cyanea","Commelina cyanea","","","","","","","","Plantae","Charophyta","Equisetopsida","Commelinales","Commelinaceae","Commelina","","","","species","","R.Br.","Scurvy Weed","","","","","","https://orcid.org/0000-0002-1096-6066","https://orcid.org/0000-0002-1096-6066","","Commelina cyanea","","","","","","","","","","","","c0b4a8c7-ce28-4c85-ac1b-b12f02cea43e","","","","","","","","","","702ce113-409f-4728-9b01-d4e29a0d5195",""
"dr1411","iNaturalist Australia","18f0c665-7ab1-443c-a0cb-6616e59df589 | 4d941f8a-f73d-42ba-b7c4-293d8284b2d4 | 8bfdf6c3-e05f-4b98-88bc-9b32b878b4c7 | f867fe37-3dfc-4ae7-ae77-587a599e8c47","2025-08-19T12:29Z","","CC-BY 4.0 (Int)","Thomas Mesaglio","","","https://www.inaturalist.org/observations/289446008","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/289446008","289446008","","Thomas Mesaglio","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-06-14T12:27:00Z","12:27:00+10:00","165","165","2025","6","14","2025/06/14 12:27 PM","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Garrison Point Reserve and surrounds, Mirambeena Regional Park, Georges Hall, Sydney, New South Wales","","","","","","","","","","","-33.908623","150.980591","EPSG:4326","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","648530413","","","Thomas Mesaglio","2025-06-14T05:26:50Z","","research","","1138436","","","","","","https://id.biodiversity.org.au/taxon/apni/51432333","Solenogyne bellioides","Solenogyne bellioides","","","","","","","","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Solenogyne","","","","species","","Cass.","Solengyne","","","","","","https://orcid.org/0000-0002-1096-6066","https://orcid.org/0000-0002-1096-6066","","Solenogyne bellioides","","","","","","","","","","","","fd09bbf7-f9dd-4b67-9790-5008ea9d9ec5","","","","","","","","","","18f0c665-7ab1-443c-a0cb-6616e59df589 | 4d941f8a-f73d-42ba-b7c4-293d8284b2d4 | 8bfdf6c3-e05f-4b98-88bc-9b32b878b4c7 | f867fe37-3dfc-4ae7-ae77-587a599e8c47",""
"dr1411","iNaturalist Australia","417274dd-4491-49fa-8e33-6a6745fcdc8c","2025-08-19T12:28:52Z","","CC-BY 4.0 (Int)","Thomas Mesaglio","","","https://www.inaturalist.org/observations/289445034","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/289445034","289445034","","Thomas Mesaglio","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-06-14T10:48:00Z","10:48:00+10:00","165","165","2025","6","14","2025/06/14 10:48 AM","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Garrison Point Reserve and surrounds, Mirambeena Regional Park, Georges Hall, Sydney, New South Wales","","","","","","","","","","","-33.909813","150.979538","EPSG:4326","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","648528050","","","Thomas Mesaglio","2025-06-14T05:17:59Z","","research","","51594","","","","","","https://id.biodiversity.org.au/node/apni/2904297","Pittosporum undulatum","Pittosporum undulatum","","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Pittosporaceae","Pittosporum","","","","species","","Vent.","Sweet Pittosporum","","","","","","https://orcid.org/0000-0002-1096-6066","https://orcid.org/0000-0002-1096-6066","","Pittosporum undulatum","","","","","","","","","","","","30955c15-0028-479b-8e37-ae9cff05d127","","","","","","","","","","417274dd-4491-49fa-8e33-6a6745fcdc8c",""
"dr1411","iNaturalist Australia","4451f10d-89e1-4b8a-a0ac-70798fb835f7","2025-10-09T22:29:19Z","","CC-BY-NC 4.0 (Int)","Claire","","","https://www.inaturalist.org/observations/319840429","","","","iNaturalist","Observations","iNaturalist observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/319840429","319840429","","Claire","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-10-10T08:23:22Z","08:23:22+11:00","283","283","2025","10","10","2025-10-10 08:23:22","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Georges Hall NSW 2198, Australia","","","","","","","","","","","-33.909608","150.98018","EPSG:4326","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","needs_id","","52356","","","","","","https://id.biodiversity.org.au/node/apni/2917071","Pavonia","Pavonia","","","","","","","","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Pavonia","","","","genus","","Cav.","","","","","","","","","","","","","","","","","","","","","","0d2b33dd-3785-4140-89ae-29b7be631fd0","","","","","","","","","","4451f10d-89e1-4b8a-a0ac-70798fb835f7",""
"dr1411","iNaturalist Australia","5b51ef1c-2a53-4cee-8922-f98d79122099","2025-08-19T12:29Z","","CC-BY 4.0 (Int)","Thomas Mesaglio","","","https://www.inaturalist.org/observations/289445986","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/289445986","289445986","","Thomas Mesaglio","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-06-14T11:11:00Z","11:11:00+10:00","165","165","2025","6","14","2025/06/14 11:11 AM","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Garrison Point Reserve and surrounds, Mirambeena Regional Park, Georges Hall, Sydney, New South Wales","","","","","","","","","","","-33.909599","150.980194","EPSG:4326","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","648530376","","","Thomas Mesaglio","2025-06-14T05:26:43Z","","research","","210193","","","","","","https://id.biodiversity.org.au/taxon/apni/51772307","Goodenia hederacea","Goodenia hederacea","","","","","","","","Plantae","Charophyta","Equisetopsida","Asterales","Goodeniaceae","Goodenia","","","","species","","Sm.","Ivy Goodenia","","","","","","https://orcid.org/0000-0002-1096-6066","https://orcid.org/0000-0002-1096-6066","","Goodenia hederacea","","","","","","","","","","","","ed1381b0-ab60-45eb-9083-eb72590550c2","","","","","","","","","","5b51ef1c-2a53-4cee-8922-f98d79122099",""
"dr1411","iNaturalist Australia","55169c47-7b39-405a-8b81-27a33e3d10a5","2025-06-15T11:12:38Z","","CC-BY-NC 4.0 (Int)","Pete","","","https://www.inaturalist.org/observations/289731136","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/289731136","289731136","","Pete","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-06-14T11:15:51Z","11:15:51+10:00","165","165","2025","6","14","2025-06-14 11:15:51","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Henry Lawson Drive, Georges Hall, NSW, AU","","","","","","","","","","","-33.90969","150.980681","EPSG:4326","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","649034767","","","Pete","2025-06-15T04:40:10Z","","research","","401745","","","","","","https://id.biodiversity.org.au/node/apni/2888469","Eremophila debilis","Eremophila debilis","","","","","","","","Plantae","Charophyta","Equisetopsida","Lamiales","Scrophulariaceae","Eremophila","","","","species","","(Andrews) Chinnock","Winter Apple","","","","","","","","","Eremophila debilis","","","","","","","","","","","","26215798-f04c-4eff-959f-f601e08bb5a8","","","","","","","","","","55169c47-7b39-405a-8b81-27a33e3d10a5",""
"dr1411","iNaturalist Australia","351bfacd-85db-4b90-abb8-bab7e49eb97c","2026-03-13T01:59:30Z","","CC-BY-NC 4.0 (Int)","paulangel","","","https://www.inaturalist.org/observations/342360252","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/342360252","342360252","","paulangel","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-07-29T11:45:53Z","11:45:53+10:00","210","210","2025","7","29","2025-07-29 11:45:53","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Georges Cr, Georges Hall, NSW, AU","","","","","","","","","","","-33.909801","150.980725","EPSG:4326","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","772411858","","","paulangel","2026-03-11T02:25:46Z","","research","","323818","","","","","","https://id.biodiversity.org.au/taxon/apni/51770334","Daviesia ulicifolia","Daviesia ulicifolia","","","","","","","","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Daviesia","","","","species","","Andrews","Gorse Bitter-pea","","","","","","","","","Daviesia ulicifolia","","","","","","","","","","","","392301fb-7a31-4ca2-9b5b-a68b2f60624b","","","","","","","","","","351bfacd-85db-4b90-abb8-bab7e49eb97c",""
"dr1411","iNaturalist Australia","29c822d5-257d-4a5a-a38d-50bd5c1c4bca | 9bdec63a-52f9-464b-a975-aed0d17c8bc2","2025-06-14T01:22:12Z","","CC-BY-NC 4.0 (Int)","julianeribeiro","","","https://www.inaturalist.org/observations/289410246","","","","iNaturalist","Observations","iNaturalist observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/289410246","289410246","","julianeribeiro","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-06-14T11:16:11Z","11:16:11+10:00","165","165","2025","6","14","2025-06-14 11:16:11","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Georges Hall NSW 2198, Australia","","","","","","","","","","","-33.909474","150.980417","EPSG:4326","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","needs_id","","353868","","","","","","https://id.biodiversity.org.au/node/apni/2894269","Oxalis perennans","Oxalis perennans","","","","","","","","Plantae","Charophyta","Equisetopsida","Oxalidales","Oxalidaceae","Oxalis","","","","species","","Haw.","Native Sorrel","","","","","","","","","Oxalis perennans","","","","","","","","","","","","c3603e74-ed1b-4e79-85cd-beb678bf4b5e","","","","","","","","","","29c822d5-257d-4a5a-a38d-50bd5c1c4bca | 9bdec63a-52f9-464b-a975-aed0d17c8bc2",""
"dr1411","iNaturalist Australia","0e84f945-1a34-43d8-b68b-448347f6075d | c1005f12-340e-4497-9951-8352d02752c7 | d54fac7d-389f-423b-aeea-6cb7a0fd2915","2025-08-19T12:28:58Z","","CC-BY 4.0 (Int)","Thomas Mesaglio","","","https://www.inaturalist.org/observations/289445071","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/289445071","289445071","","Thomas Mesaglio","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2025-06-14T10:59:00Z","10:59:00+10:00","165","165","2025","6","14","2025/06/14 10:59 AM","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Garrison Point Reserve and surrounds, Mirambeena Regional Park, Georges Hall, Sydney, New South Wales","","","","","","","","","","","-33.909702","150.980392","EPSG:4326","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","648528107","","","Thomas Mesaglio","2025-06-14T05:18:06Z","","research","","323818","","","","","","https://id.biodiversity.org.au/taxon/apni/51770334","Daviesia ulicifolia","Daviesia ulicifolia","","","","","","","","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Daviesia","","","","species","","Andrews","Gorse Bitter-pea","","","","","","https://orcid.org/0000-0002-1096-6066","https://orcid.org/0000-0002-1096-6066","","Daviesia ulicifolia","","","","","","","","","","","","11445f82-5165-4455-86c6-001f358551df","","","","","","","","","","0e84f945-1a34-43d8-b68b-448347f6075d | c1005f12-340e-4497-9951-8352d02752c7 | d54fac7d-389f-423b-aeea-6cb7a0fd2915",""
