Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name,__source,decimals,year,precision_tier
5755,Sonchus oleraceus,2023-09-10T11:31:00,iNaturalist observations,Not in a reserve,-33.896976,151.018173,,flowers,,,2023.0,9.0,10.0,,,,,,,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,6,2023,<1 m (6+ dp)
28221,Eucalyptus baueriana,2018-05-23T00:00:00,DPIE Data from Scientific Licences dataset,Kentucky Reserve,-33.917783,150.974645,,,,occurrenceRemarks withheld,2018.0,5.0,23.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OIXR15013005,CB Council,ALA,6,2018,<1 m (6+ dp)
9927,Dillwynia sieberi,2023-06-27T14:52:00,iNaturalist research-grade observations,Crest,-33.908554,150.994843,,,,,2023.0,6.0,27.0,,,,,Thomas Mesaglio,2023-06-27T09:11:50Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,6,2023,<1 m (6+ dp)
5831,Einadia hastata,2025-03-18T12:12:55,iNaturalist research-grade observations,Crest,-33.908378,150.99568,,,,,2025.0,3.0,18.0,,,,,Michael Mahoney,2025-03-18T02:15:33Z,,HUMAN_OBSERVATION,,Michael Mahoney,CB Council,iNaturalist,6,2025,<1 m (6+ dp)
24458,Themeda triandra,2014-02-05T00:00:00,ACA Vegetation Survey,Deepwater,-33.951621,150.981082,,,,occurrenceRemarks withheld,2014.0,2.0,5.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Anne Clements & Associates,HUMAN_OBSERVATION,,OEMM09100802;OIXR13100400,CB Council,ALA,6,2014,<1 m (6+ dp)
1476,Acacia pubescens,2009-10-22T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.892647,150.975942,,,,occurrenceRemarks withheld,2009.0,10.0,22.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2009,<1 m (6+ dp)
9971,Diuris maculata,2022-08-14T11:57:10,iNaturalist research-grade observations,Not in a reserve,-33.973539,151.00514,,,,,2022.0,8.0,14.0,,,,,laurelrf,2022-08-21T09:49:37Z,,HUMAN_OBSERVATION,,laurelrf,CB Council,iNaturalist,6,2022,<1 m (6+ dp)
36749,Calotis dentex,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Picnic Point Reserve,-33.977563,150.996147,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
24806,Lepidosperma laterale,2019-06-18T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.892342,151.032942,,,,occurrenceRemarks withheld,2019.0,,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP00113020,CB Council,ALA,6,2019,<1 m (6+ dp)
6308,Calochilus paludosus,2024-10-03T11:45:09,iNaturalist research-grade observations,Not in a reserve,-33.895598,151.005411,,,,,2024.0,10.0,3.0,,,,,Frank Whitlock,2024-10-03T07:36:22Z,,HUMAN_OBSERVATION,,joeland,CB Council,iNaturalist,6,2024,<1 m (6+ dp)
41809,Poa labillardierei,2004-05-01T12:00:00,The Crest-Appendix,Bellevue,-33.910871,150.998776,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
10189,Cenchrus setaceus,2018-04-19T12:40:15,iNaturalist observations,Not in a reserve,-33.913476,151.122667,,,,,2018.0,4.0,19.0,,,,,,,,HUMAN_OBSERVATION,,masquerade1,CB Council,iNaturalist,6,2018,<1 m (6+ dp)
19596,Acacia decurrens,2004-05-01T12:00:00,CondellPark Flora&Fauna Apndx4 POM,Marion Reserve,-33.914839,151.010151,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
3611,Entolasia stricta,2014-11-06T00:00:00,GC-offsets Vegetation Survey,Lansdowne,-33.893423,150.974886,,,,occurrenceRemarks withheld,2014.0,11.0,6.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,ORXM97042200,CB Council,ALA,6,2014,<1 m (6+ dp)
2527,Acacia pubescens,2009-10-22T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.892999,150.976496,,,,occurrenceRemarks withheld,2009.0,10.0,22.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2009,<1 m (6+ dp)
31783,Callistemon salignus,2019-03-08T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.905179,151.038241,,,,occurrenceRemarks withheld,2019.0,3.0,8.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OPUR17042400,CB Council,ALA,6,2019,<1 m (6+ dp)
19477,Ozothamnus diosmifolius,1998-12-21T00:00:00,WESTSYD Vegetation Survey,Louisa,-33.904658,151.000478,,,,occurrenceRemarks withheld,1998.0,12.0,21.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OPXE97062300;OVLU99062101,CB Council,ALA,6,1998,<1 m (6+ dp)
11182,Acacia longifolia,2021-07-16T16:07:00,iNaturalist research-grade observations,Not in a reserve,-33.926648,151.147208,,,,,2021.0,7.0,16.0,,,,,lostinthebush,2021-07-16T10:00:22Z,,HUMAN_OBSERVATION,,lostinthebush,CB Council,iNaturalist,6,2021,<1 m (6+ dp)
7594,Persicaria capitata,2024-04-16T16:26:39,iNaturalist research-grade observations,Not in a reserve,-33.926514,151.142151,,,,,2024.0,4.0,16.0,,,,,cjj12345,2024-04-16T06:27:24Z,,HUMAN_OBSERVATION,,cjj12345,CB Council,iNaturalist,6,2024,<1 m (6+ dp)
8198,Acacia pubescens,2024-04-11T13:16:24,iNaturalist research-grade observations,Not in a reserve,-33.903996,150.998474,,no flowers or fruits,,,2024.0,4.0,11.0,,,,,superbum2,2024-04-12T12:30:09Z,,HUMAN_OBSERVATION,,Bronte-Maye,CB Council,iNaturalist,6,2024,<1 m (6+ dp)
41475,Cenchrus clandestinus,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Virginius Reserve,-33.960678,151.022552,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
5382,Hardenbergia violacea,2023-11-06T12:00:00,C-B Council Reserves plot survey data 2023_Western Sydney University ,The Crest Reserve,-33.91092254,150.998445,5.0,,,,2023.0,11.0,6.0,,,,,,,,,,"M Franklin, J Bendall, D Bristol.",CB Council,ALA,8,2023,<1 m (6+ dp)
28307,Melaleuca nodosa,2018-05-23T00:00:00,DPIE Data from Scientific Licences dataset,Ashford Reserve,-33.929585,150.986124,,,,occurrenceRemarks withheld,2018.0,5.0,23.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OIXR15013005,CB Council,ALA,6,2018,<1 m (6+ dp)
28893,Setaria pumila,2019-12-11T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.909648,151.085877,,,introduced,occurrenceRemarks withheld,2019.0,12.0,11.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OIXR14091000,CB Council,ALA,6,2019,<1 m (6+ dp)
3396,Hardenbergia violacea,2006-11-23T00:00:00,DPIE Default Sightings,Lansdowne,-33.895029,150.978671,,,,occurrenceRemarks withheld,2006.0,11.0,23.0,,,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OEMM09111310,CB Council,ALA,6,2006,<1 m (6+ dp)
19973,Acacia pubescens,2009-09-16T00:00:00,DPIE Data from Scientific Licences dataset,Carysfield,-33.901816,150.997948,,,,occurrenceRemarks withheld,2009.0,9.0,16.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2009,<1 m (6+ dp)
6560,Pittosporum undulatum,2022-03-23T12:54:50,iNaturalist research-grade observations,Not in a reserve,-33.906015,150.996272,,,,Pittosporum undulatum or Sweet Pittosporum is a shrub or tree that grow up to 14m in height. The leaves are thick and glossy with wavy margins. They grow a green capsule that turns to orange and ripes. The flowering time for Sweet Pittosporum is in August to October.,2022.0,3.0,23.0,,,,,laurelrf,2022-03-24T18:35:50Z,,HUMAN_OBSERVATION,,roxanahanna,CB Council,iNaturalist,6,2022,<1 m (6+ dp)
25233,Cestrum parqui,2015-11-23T00:00:00,DPIE Data from Scientific Licences dataset,Deepwater,-33.945555,150.979018,,,introduced,occurrenceRemarks withheld,2015.0,11.0,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP09120203,CB Council,ALA,6,2015,<1 m (6+ dp)
20112,Olea europaea,2015-09-15T00:00:00,DPIE Default Sightings,Not in a reserve,-33.890332,151.055229,,,introduced,occurrenceRemarks withheld,2015.0,9.0,15.0,,,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OIXR15081800,CB Council,ALA,6,2015,<1 m (6+ dp)
3846,Asparagus scandens,2014-11-06T00:00:00,GC-offsets Vegetation Survey,Lansdowne,-33.892571,150.975165,,,introduced,occurrenceRemarks withheld,2014.0,11.0,6.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,ORXM97042200,CB Council,ALA,6,2014,<1 m (6+ dp)
38852,Ficus elastica,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Little Salt Pan Creek Reserve,-33.96882,151.029014,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
42040,Pultenaea villosa,2004-05-01T12:00:00,Bankstown Airport Reserves Flora&Fauna Apndx6 POM,Ashford Reserve,-33.930003,150.984825,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
39859,Lambertia formosa,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,The River Reserve,-33.969546,151.016111,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
19361,Dichondra repens,1998-12-21T00:00:00,WESTSYD Vegetation Survey,Crest,-33.907955,150.995264,,,,occurrenceRemarks withheld,1998.0,12.0,21.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OPXE97062300;OVLU99062101,CB Council,ALA,6,1998,<1 m (6+ dp)
23133,Pultenaea daphnoides,2008-11-17T00:00:00,DPIE Default Sightings,Salt Pan Reserve,-33.96298,151.04025,,,,occurrenceRemarks withheld,2008.0,11.0,17.0,,,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OEMM09102201,CB Council,ALA,5,2008,≈1–10 m (5 dp)
