OBJECTID,PCTID,Shape_Leng,Shape_Area,labels,PCTName,vegForm,vegClass,form_PCT
320334,0,21561.424802157569502,21491396.941383056342602,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320401,0,4389.958800668660842,131614.460506265400909,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320418,0,5128.377291732649610,103471.808464627887588,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320447,0,6122.500523184310623,93103.168098010486574,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
322163,3592,4976.595658722272674,109029.519875820755260,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322166,3592,5410.409973801401065,173009.226669184601633,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
324464,4091,5545.285123344537169,81199.485112435038900,PCT : 4091,Grey Mangrove-River Mangrove Forest,Saline Wetlands,Mangrove Swamps,(Saline Wetlands) Grey Mangrove-River Mangrove Forest
349696,0,5731.472747425180387,219168.683653273939854,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
349713,0,10018.758019158256502,557467.943535002297722,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
350080,0,8258.240694655843981,200621.665440498094540,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
350082,0,6239.411263982378841,347207.556816104450263,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
350092,0,6486.336118847501893,339640.920425403863192,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
358392,4024,5899.694797737844965,166768.026481689128559,PCT : 4024,Cumberland Blue Box Riverflat Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Cumberland Blue Box Riverflat Forest
320321,0,7213.909707260641881,830328.706787779228762,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320322,0,16685.022496198518638,8311069.289837388321757,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320324,0,9805.053852877181271,2910973.490146994590759,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320326,0,8221.516475199859997,1890229.332150017609820,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320327,0,7984.020099694854252,604950.609146771137603,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320328,0,9731.321884079334268,2789718.507564859464765,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320331,0,9506.109016255370079,795684.795669225743040,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320332,0,13619.637211792411108,6989184.117143696174026,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320333,0,10149.826724284823285,2317245.814834213815629,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320335,0,18522.258066791269812,13494073.727430220693350,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320336,0,19354.377398228185484,14945430.009120304137468,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320341,0,10708.066342894473564,3025263.692055209074169,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320342,0,6770.547323460466941,275413.514125029789284,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320343,0,12965.743820844487345,5612660.694317908026278,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320344,0,12307.393905822687884,4468982.026010820642114,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320345,0,11252.646448937550304,2433142.075126858428121,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320346,0,5273.155313745509375,205104.385527033911785,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320347,0,5521.804213239355704,279559.505257808021270,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320348,0,15156.345227983571021,9621154.937320796772838,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320349,0,6431.963740171508107,430797.186754390364513,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320350,0,12930.863100282449523,5876954.782270967960358,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320351,0,16070.218766794234398,9629559.590803256258368,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320352,0,7540.105685838863792,960959.254166406812146,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320353,0,13835.062775887579846,5170231.114770049229264,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320354,0,9218.663392328371629,1193965.485254538012668,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320355,0,14164.454561808941435,4875713.521939760074019,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320356,0,7796.888138382483703,1001231.064612185233273,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320357,0,6784.683641733397053,417650.908611211576499,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320358,0,22160.608376739270170,12092918.101375145837665,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320360,0,10011.275967974561354,2897221.481396547518671,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320375,0,5480.260106358767189,227961.727616284042597,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
