OBJECTID,PCTID,PCTName,vegForm,vegClass,form_PCT,labels,Shape_Leng,Shape_Area,labels2
137918,"0",Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation,PCT : 0,1324670.259660218143836,207312299.244365185499191,Object ID: 137918  PCT ID: 0
137923,"3039",Sydney Coastal Lilly Pilly-Palm Gallery Rainforest,Rainforests,Northern Warm Temperate Rainforests,(Rainforests) Sydney Coastal Lilly Pilly-Palm Gallery Rainforest,PCT : 3039,377332.756034296238795,6998550.470008124597371,Object ID: 137923  PCT ID: 3039
137930,"3136",Blue Gum High Forest,Wet Sclerophyll Forests (Shrubby sub-formation),North Coast Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Shrubby sub-formation)) Blue Gum High Forest,PCT : 3136,1100707.607651649741456,108560258.353250861167908,Object ID: 137930  PCT ID: 3136
137946,"3262",Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest,PCT : 3262,1585934.427229694090784,206731256.194441139698029,Object ID: 137946  PCT ID: 3262
137947,"3320",Cumberland Shale Plains Woodland,Grassy Woodlands,Coastal Valley Grassy Woodlands,(Grassy Woodlands) Cumberland Shale Plains Woodland,PCT : 3320,54045.479868018417619,2791418.134484912734479,Object ID: 137947  PCT ID: 3320
137954,"3448",Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest,PCT : 3448,245363.898905807582196,48426152.165275461971760,Object ID: 137954  PCT ID: 3448
137962,"3592",Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest,PCT : 3592,1750396.889089399250224,53875396.292029656469822,Object ID: 137962  PCT ID: 3592
137963,"3593",Sydney Coastal Sandstone Bloodwood Shrub Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Bloodwood Shrub Forest,PCT : 3593,3315770.296463340986520,166389388.828730732202530,Object ID: 137963  PCT ID: 3593
137964,"3594",Sydney Coastal Sandstone Foreshores Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Foreshores Forest,PCT : 3594,1225352.209794692695141,66595374.190711483359337,Object ID: 137964  PCT ID: 3594
137965,"3595",Sydney Coastal Sandstone Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Gully Forest,PCT : 3595,2664092.894556094892323,117946102.856247127056122,Object ID: 137965  PCT ID: 3595
137971,"3619",Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest,PCT : 3619,179281.892595705663553,7896629.106928550638258,Object ID: 137971  PCT ID: 3619
137994,"3814",Woronora Plateau Heath-Mallee,Heathlands,Sydney Coastal Heaths,(Heathlands) Woronora Plateau Heath-Mallee,PCT : 3814,844214.802040596143343,34290978.251109376549721,Object ID: 137994  PCT ID: 3814
138003,"3963",Estuarine Reedland,Freshwater Wetlands,Coastal Freshwater Lagoons,(Freshwater Wetlands) Estuarine Reedland,PCT : 3963,80642.368149442016147,3720389.414945420343429,Object ID: 138003  PCT ID: 3963
138016,"4019",Coastal Alluvial Bangalay Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Coastal Alluvial Bangalay Forest,PCT : 4019,55068.439566378343443,1786374.946680801920593,Object ID: 138016  PCT ID: 4019
138024,"4028",Estuarine Swamp Oak Twig-rush Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Estuarine Swamp Oak Twig-rush Forest,PCT : 4028,413650.534020730527118,18936438.078904185444117,Object ID: 138024  PCT ID: 4028
138034,"4091",Grey Mangrove-River Mangrove Forest,Saline Wetlands,Mangrove Swamps,(Saline Wetlands) Grey Mangrove-River Mangrove Forest,PCT : 4091,662517.805965873645619,26996564.075777456164360,Object ID: 138034  PCT ID: 4091
138348,"0",Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation,PCT : 0,257937.658455464435974,9600350.404569156467915,Object ID: 138348  PCT ID: 0
138378,"3262",Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest,PCT : 3262,767770.953788325539790,31355594.574695043265820,Object ID: 138378  PCT ID: 3262
138381,"3320",Cumberland Shale Plains Woodland,Grassy Woodlands,Coastal Valley Grassy Woodlands,(Grassy Woodlands) Cumberland Shale Plains Woodland,PCT : 3320,4639883.846498941071332,902633798.070226430892944,Object ID: 138381  PCT ID: 3320
138383,"3448",Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest,PCT : 3448,1630924.567765761399642,165803851.304005682468414,Object ID: 138383  PCT ID: 3448
138404,"3619",Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest,PCT : 3619,1007754.505115945590660,59221459.074417613446712,Object ID: 138404  PCT ID: 3619
138409,"3629",Castlereagh Scribbly Gum Woodland,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Sand Flats Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Castlereagh Scribbly Gum Woodland,PCT : 3629,583643.175857787253335,82794944.392929494380951,Object ID: 138409  PCT ID: 3629
138431,"4023",Coastal Valleys Swamp Oak Riparian Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Coastal Valleys Swamp Oak Riparian Forest,PCT : 4023,500283.234690992394462,16459107.939568009227514,Object ID: 138431  PCT ID: 4023
138432,"4024",Cumberland Blue Box Riverflat Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Cumberland Blue Box Riverflat Forest,PCT : 4024,610192.865385382785462,27396704.907241947948933,Object ID: 138432  PCT ID: 4024
138435,"4028",Estuarine Swamp Oak Twig-rush Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Estuarine Swamp Oak Twig-rush Forest,PCT : 4028,94066.525411266266019,1507544.662389754317701,Object ID: 138435  PCT ID: 4028
137924,"3040",Sydney Coastal Foreshores Gully Rainforest,Rainforests,Northern Warm Temperate Rainforests,(Rainforests) Sydney Coastal Foreshores Gully Rainforest,PCT : 3040,13939.890269890225682,321534.978603249473963,Object ID: 137924  PCT ID: 3040
137945,"3259",Sydney Coastal Shale-Sandstone Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Coastal Shale-Sandstone Forest,PCT : 3259,367206.088358040258754,10718460.021946191787720,Object ID: 137945  PCT ID: 3259
137968,"3615",Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest,PCT : 3615,224811.399735083396081,5542654.624914565123618,Object ID: 137968  PCT ID: 3615
137993,"3813",Sydney Hinterland Dwarf Apple Low Woodland,Heathlands,Sydney Coastal Heaths,(Heathlands) Sydney Hinterland Dwarf Apple Low Woodland,PCT : 3813,21041.591796905202500,1035764.672635489725508,Object ID: 137993  PCT ID: 3813
138005,"3972",Sydney Creekflat Wetland,Freshwater Wetlands,Coastal Freshwater Lagoons,(Freshwater Wetlands) Sydney Creekflat Wetland,PCT : 3972,73175.207896427222295,2723477.405285230837762,Object ID: 138005  PCT ID: 3972
138014,"4006",Northern Paperbark-Swamp Mahogany Saw-sedge Forest,Forested Wetlands,Coastal Swamp Forests,(Forested Wetlands) Northern Paperbark-Swamp Mahogany Saw-sedge Forest,PCT : 4006,64857.543393914667831,2979469.101716361008584,Object ID: 138014  PCT ID: 4006
138020,"4024",Cumberland Blue Box Riverflat Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Cumberland Blue Box Riverflat Forest,PCT : 4024,71853.525365851906827,1671580.974032779689878,Object ID: 138020  PCT ID: 4024
138023,"4027",Estuarine Swamp Oak-Mangrove Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Estuarine Swamp Oak-Mangrove Forest,PCT : 4027,61102.120927354219020,1309802.816226626979187,Object ID: 138023  PCT ID: 4027
138030,"4057",Sydney Creekflat Swamp Mahogany-Paperbark Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Sydney Creekflat Swamp Mahogany-Paperbark Forest,PCT : 4057,15851.159758974816214,330405.582234779314604,Object ID: 138030  PCT ID: 4057
138037,"4097",Samphire Saltmarsh,Saline Wetlands,Saltmarshes,(Saline Wetlands) Samphire Saltmarsh,PCT : 4097,113735.404396432917565,4200683.867514573037624,Object ID: 138037  PCT ID: 4097
138040,"32767",Unattributed,Unattributed,Unattributed,(Unattributed) Unattributed,PCT : 32767,7791.885237219128612,3094.391002701130674,Object ID: 138040  PCT ID: 32767
138375,"3259",Sydney Coastal Shale-Sandstone Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Coastal Shale-Sandstone Forest,PCT : 3259,23122.347931085801974,2704061.046167915686965,Object ID: 138375  PCT ID: 3259
138390,"3592",Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest,PCT : 3592,114463.508722094906261,2555328.914977101609111,Object ID: 138390  PCT ID: 3592
138400,"3615",Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest,PCT : 3615,182218.068223333422793,4772050.685386875644326,Object ID: 138400  PCT ID: 3615
138408,"3628",Castlereagh Shrubby Swamp Woodland,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Sand Flats Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Castlereagh Shrubby Swamp Woodland,PCT : 3628,60668.715860951779177,1659454.762134202755988,Object ID: 138408  PCT ID: 3628
138425,"3963",Estuarine Reedland,Freshwater Wetlands,Coastal Freshwater Lagoons,(Freshwater Wetlands) Estuarine Reedland,PCT : 3963,23464.360517973316746,453199.315768700849731,Object ID: 138425  PCT ID: 3963
138426,"3972",Sydney Creekflat Wetland,Freshwater Wetlands,Coastal Freshwater Lagoons,(Freshwater Wetlands) Sydney Creekflat Wetland,PCT : 3972,37140.758258037341875,635220.580041738576256,Object ID: 138426  PCT ID: 3972
138428,"3985",Coastal Floodplain Swamp Paperbark Scrub,Forested Wetlands,Coastal Swamp Forests,(Forested Wetlands) Coastal Floodplain Swamp Paperbark Scrub,PCT : 3985,9347.239967416451691,133516.619152390543604,Object ID: 138428  PCT ID: 3985
138429,"4006",Northern Paperbark-Swamp Mahogany Saw-sedge Forest,Forested Wetlands,Coastal Swamp Forests,(Forested Wetlands) Northern Paperbark-Swamp Mahogany Saw-sedge Forest,PCT : 4006,501.924236857850872,2868.421694267222392,Object ID: 138429  PCT ID: 4006
138434,"4026",Estuarine Sea Rush Swamp Oak Forest,Forested Wetlands,Coastal Floodplain Wetlands,(Forested Wetlands) Estuarine Sea Rush Swamp Oak Forest,PCT : 4026,1647.243511639721874,26263.827930849878612,Object ID: 138434  PCT ID: 4026
138442,"4091",Grey Mangrove-River Mangrove Forest,Saline Wetlands,Mangrove Swamps,(Saline Wetlands) Grey Mangrove-River Mangrove Forest,PCT : 4091,32025.744401614570961,459008.403096691297833,Object ID: 138442  PCT ID: 4091
138443,"4097",Samphire Saltmarsh,Saline Wetlands,Saltmarshes,(Saline Wetlands) Samphire Saltmarsh,PCT : 4097,3215.819240370503394,37842.785757650621235,Object ID: 138443  PCT ID: 4097
138445,"32767",Unattributed,Unattributed,Unattributed,(Unattributed) Unattributed,PCT : 32767,8290.921277751576781,3932.717443044965421,Object ID: 138445  PCT ID: 32767
