old_location_name,genus,species,Family,vernacular_name,class,rare_endangered,local_rare_endangered,exotic,year,decimal_longitude,decimal_latitude,reserve_name
Ashford Reserve,Acanthorhynchus,tenuirostris,Meliphagidae,Eastern spinebill,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Anthochaera,carunculata,Meliphagidae,Red wattlebird,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Anthochaera,chrysoptera,Meliphagidae,Little wattlebird,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Carduelis,carduelis,Fringillidae,European goldfinch,Aves,FALSE,FALSE,TRUE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Cisticola,exilis,Cisticolidae,Golden-headed cisticola,Aves,FALSE,TRUE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Coracina,novaehollandiae,Campephagidae,Black-faced cuckoo-shrike,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Corvus,coronoides,Corvidae,Australian raven,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Eopsaltria,australis,Petroicidae,Eastern yellow robin,Aves,FALSE,TRUE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Gymnorhina,tibicen,Artamidae,Australian magpie,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Hirundo,neoxena,Hirundinidae,Welcome swallow,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Lonchura,punctulata,Estrildidae,Nutmeg mannikin,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Malurus,cyaneus,Maluridae,Superb fairy-wren,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
Ashford Reserve,Neochmia,temporalis,Estrildidae,Red-browed finch,Aves,FALSE,FALSE,FALSE,2004,150.984825,-33.930003,Ashford Reserve
