scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Abutilon oxycarpum,,Not in a reserve,-33.916667,151.116667,11/12/1971 0:00,herb (4); shrub (6)
Abutilon spp.,Indian mallow,Amaroo,-33.908,150.982962,1/5/2004 12:00,
Abutilon theophrasti,Chingma Lantern,Not in a reserve,-33.977766,150.996904,3/4/2020 0:00,herb (4); shrub (3)
Acacia burkittii,Sandhill Wattle,Not in a reserve,-33.9152971,151.0926061,20/11/1970 0:00,shrub (10); tree (4)
Acacia buxifolia,,Not in a reserve,-33.977778,150.996944,10/8/2016 0:00,shrub (6); tree (1)
Acacia buxifolia,,Not in a reserve,-33.977766,150.996904,3/4/2020 0:00,shrub (6); tree (1)
Acacia bynoeana,,Not in a reserve,-33.910117,151.108264,1/4/1913 0:00,shrub (4)
Acacia bynoeana,,Not in a reserve,-33.916667,151.116667,,shrub (4)
Acacia cultriformis,,Not in a reserve,-33.977766,150.996904,3/4/2020 0:00,shrub (5)
Acacia dealbata,Silver Wattle,Not in a reserve,-33.939102,151.098629,4/6/2023 13:55,shrub (7); tree (14)
Acacia dealbata,Silver Wattle,Not in a reserve,-33.939102,151.098629,4/6/2023 13:57,shrub (7); tree (14)
Acacia elongata,,Not in a reserve,-33.97108,150.99627,7/12/2007 0:00,shrub (8); tree (2)
Acacia elongata,,Lambeth Reserve,-33.971972,150.997378,7/12/2007 0:00,shrub (8); tree (2)
Acacia falciformis,,Flood Reserve,-33.93576,151.02208,23/12/2007 0:00,shrub (7); tree (9)
Acacia genistifolia,,Not in a reserve,-33.917194,150.980194,6/11/2009 0:00,shrub (13); tree (1)
Acacia genistifolia,,Not in a reserve,-33.917222,150.980278,6/11/2009 0:00,shrub (13); tree (1)
Acacia iteaphylla,Flinders Range Wattle,Not in a reserve,-33.973008,151.002782,2/5/2022 12:19,shrub (7); tree (3)
Acacia iteaphylla,Flinders Range Wattle,Not in a reserve,-33.918972,151.119644,17/9/2024 10:40,shrub (7); tree (3)
Acacia linearifolia,,Not in a reserve,-33.973447,151.038284,28/5/2009 0:00,shrub (5); tree (7)
Acacia linearifolia,,Not in a reserve,-33.884245,150.993082,28/11/2023 0:00,shrub (5); tree (7)
Acacia maidenii,,Not in a reserve,-33.981389,151.006111,3/6/1996 0:00,shrub (3); tree (13)
Acacia maidenii,,Not in a reserve,-33.979836,151.007121,3/6/1996 0:00,shrub (3); tree (13)
Acacia melanoxylon,,Bellevue,-33.910871,150.998776,1/5/2004 12:00,
Acacia ramulosa,"horse mulga, bowgada wattle",Carysfield,-33.902185,150.998468,1/5/2004 12:00,
Acacia saliciformis,,Not in a reserve,-33.891781,151.03223,7/4/2018 0:00,shrub (5); tree (4)
Acacia schinoides,,Not in a reserve,-33.966686,151.041687,1/10/2009 0:00,shrub (6); tree (7)
Acalypha australis,,Not in a reserve,-33.913678,151.133612,27/3/2024 17:32,herb (3)
Acca sellowiana,Feijoa,Not in a reserve,-33.940064,150.995769,1/8/2022 0:00,
Acca sellowiana,Feijoa,Not in a reserve,-33.940454,150.995817,19/4/2023 0:00,
Acianthus caudatus,,Not in a reserve,-33.916667,151.116667,1897-08-15 00:00:00,herb (8)
Acianthus sp.,Mosquito Orchids,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Acronychia oblongifolia,,Crest,-33.908539,150.99598,1/5/2004 12:00,
Adansonia gregorii,Boab,Not in a reserve,-33.905093,151.110658,10/8/2013 16:05,tree (7)
Adiantum spp.,maidenhair ferns,Lambeth Reserve,-33.971772,150.996708,1/5/2004 12:00,
Aeonium arboreum,Golden Tree Aeonium,Not in a reserve,-33.97061,151.02904,11/7/2023 0:00,shrub (5)
Aeonium arboreum,Golden Tree Aeonium,Not in a reserve,-33.970612,151.029036,11/7/2023 12:29,shrub (5)
Agapanthus sp.,"African lily, lily of the Nile",The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Ageratum houstonianum,Blue Billygoat Weed,Not in a reserve,-33.899467,151.059921,00:19.4,herb (3)
Agrostis billardieri,Coast Blown-Grass,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Albizia lopantha,"Cape Leeuwin wattle, Bicol wattle, Cape wattle, Crested wattle, Brush wattle, plume albizia",Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Alchornea ilicifolia,,Not in a reserve,-33.892342,151.032942,18/6/2019 0:00,shrub (4); tree (6)
Alectryon tomentosus,Hairy Bird's Eye,Salt Pan Reserve,-33.963093,151.04053,28/3/2019 0:00,tree (6)
Alisma spp.,water-plantains,Montgomery Reserve,-33.954794,151.020454,1/5/2004 12:00,
Allocasuarina diminuta,,Not in a reserve,-33.887222,151.053333,8/9/2016 0:00,shrub (3); tree (3)
Allocasuarina paludosa,,Not in a reserve,-33.971584,150.998656,28/8/2005 0:00,shrub (9)
Allocasuarina paludosa,,Not in a reserve,-33.973277,150.997486,28/8/2005 0:00,shrub (9)
Almaleea paludosa,Marsh Bush-pea,Jenson Pk,-33.883333,151.016667,1886-09-16 00:00:00,shrub (8)
Alocasia macrorrhizos,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Alocasia spp.,,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Amaranthus macrocarpus,Large-fruit Amaranth,Not in a reserve,-33.91509,151.084491,18/5/1970 0:00,herb (9)
Amaranthus powellii,Powell's Amaranth,Not in a reserve,-33.916667,151.116667,,herb (4)
Amaranthus spp.,"amaranths, prostrate pigweed, love lies bleeding",Montgomery Reserve,-33.954794,151.020454,1/5/2004 12:00,
Amaranthus spp.,"amaranths, prostrate pigweed, love lies bleeding",Dalton Reserve,-33.919312,151.005854,1/5/2004 12:00,
Amarathus retroflexus,"amaranth pigweed, careless weed, common amaranth, green amaranth, redroot, redroot pigweed, rough pigweed, smooth pigweed",Norfolk Reserve,-33.893604,151.062656,1/5/2004 12:00,
Amphibromus neesii,Southern Swamp Wallaby-grass,Not in a reserve,-33.91509,151.084491,27/9/1969 0:00,graminoid (4); herb (3); tussock (2)
Amyema pendula,,Lansdowne,-33.897678,150.978699,3/10/2014 0:30,shrub (5)
Amyema pendula,,Lansdowne,-33.89425234,150.9770558,9/11/2023 12:00,shrub (5)
Anethum graveolens,Dill,Not in a reserve,-33.889668,151.047085,21/6/2024 7:58,herb (1)
Anigozanthos sp.,"kangaroo paw, cats-paws",Richardson Reserve,-33.963555,151.027909,1/5/2004 12:00,
Anthosachne kingiana,,Crest,-33.908333,150.991667,29/8/1995 0:00,graminoid (1); herb (1); tussock (2)
Anthosachne kingiana,,Crest,-33.90947,150.99401,10/12/2009 0:00,graminoid (1); herb (1); tussock (2)
