__source,year,median_decimals
ALA,1886,7.0
ALA,1889,6.0
ALA,1892,6.0
ALA,1895,7.0
ALA,1897,7.0
ALA,1901,6.0
ALA,1908,6.0
ALA,1909,6.0
ALA,1910,6.0
ALA,1912,6.0
ALA,1913,6.0
ALA,1915,6.0
ALA,1917,7.0
ALA,1920,6.0
ALA,1922,7.0
ALA,1925,6.0
ALA,1926,6.0
ALA,1928,7.0
ALA,1930,6.5
ALA,1933,6.0
ALA,1941,7.0
ALA,1943,6.0
ALA,1945,6.0
ALA,1946,6.0
ALA,1949,7.0
ALA,1955,7.0
ALA,1957,6.0
ALA,1963,6.0
ALA,1965,6.5
ALA,1967,6.5
ALA,1968,6.0
ALA,1969,6.5
ALA,1970,7.0
ALA,1980,7.0
ALA,1985,6.0
ALA,1986,6.0
ALA,1987,6.0
ALA,1988,6.0
ALA,1990,6.0
ALA,1992,6.0
ALA,1993,6.0
ALA,1994,6.0
ALA,1995,6.0
ALA,1996,6.0
ALA,1997,6.0
ALA,1998,6.0
ALA,1999,6.0
ALA,2000,6.0
ALA,2001,6.0
ALA,2002,6.0
ALA,2003,6.0
ALA,2004,6.0
ALA,2005,6.0
ALA,2006,6.0
ALA,2007,6.0
ALA,2008,6.0
ALA,2009,6.0
ALA,2010,6.0
ALA,2011,6.0
ALA,2012,6.0
ALA,2013,5.0
ALA,2014,6.0
ALA,2015,6.0
ALA,2016,6.0
ALA,2017,6.0
ALA,2018,6.0
ALA,2019,6.0
ALA,2020,6.0
ALA,2021,6.0
ALA,2022,6.0
ALA,2023,6.0
ALA,2024,6.0
Prototype,2004,6.0
iNaturalist,2007,6.0
iNaturalist,2008,6.0
iNaturalist,2011,6.0
iNaturalist,2014,6.0
iNaturalist,2015,6.0
iNaturalist,2016,6.0
iNaturalist,2017,6.0
iNaturalist,2018,6.0
iNaturalist,2019,6.0
iNaturalist,2020,6.0
iNaturalist,2021,6.0
iNaturalist,2022,6.0
iNaturalist,2023,6.0
iNaturalist,2024,6.0
iNaturalist,2025,6.0
