"species_id","scientific_name"
"1","Jacaranda mimosifolia"
"2","Kunzea ambigua"
"3","Brachychiton acerifolius"
"4","Banksia marginata"
"5","Dillwynia retorta"
"6","Doryanthes excelsa"
"7","Stenocarpus sinuatus"
"8","Hakea lorea"
"9","Philotheca buxifolia subsp. buxifolia"
"10","Ceratopetalum gummiferum"
"11","Athrotaxis cupressoides"
"12","Indigofera australis"
"13","Corymbia calophylla"
"14","Leptospermum laevigatum"
"15","Grevillea robusta"
"16","Quercus robur"
"17","Acacia suaveolens"
"18","Plantago lanceolata"
"19","Hibbertia hypericoides"
"20","Ipomoea muelleri"
"21","Epacris longiflora"
"22","Cochlospermum fraseri"
"23","Grevillea speciosa"
"24","Spathodea campanulata"
"25","Swainsona formosa"
"26","Bursaria spinosa subsp. spinosa"
"27","Athrotaxis selaginoides"
"28","Acacia implexa"
"29","Adansonia gregorii"
"30","Melia azedarach"
"31","Epacris purpurascens"
"32","Tetratheca juncea"
"33","Adiantum aethiopicum"
"34","Nymphoides crenata"
"35","Hardenbergia violacea"
"36","Eucalyptus resinifera"
"37","Eucalyptus paniculata"
"38","Philotheca scabra subsp. scabra"
"39","Goodenia paniculata"
"40","Pterostylis acuminata"
"41","Tragopogon porrifolius"
"42","Romulea rosea"
"43","Phyllota phylicoides"
"44","Cortaderia selloana"
"45","Solanum pseudocapsicum"
"46","Ehrharta erecta"
"47","Solanum mauritianum"
"48","Olea europaea"
"49","Banksia integrifolia"
"50","Pultenaea daphnoides"
"51","Alternanthera pungens"
"52","Notelaea longifolia"
"53","Nymphaea mexicana"
"54","Acacia hispidula"
"55","Banksia spinulosa"
"56","Pultenaea villosa"
"57","Acianthus pusillus"
"58","Aegiceras corniculatum"
"59","Lobelia andrewsii"
"60","Arctotheca calendula"
"61","Calotis cuneifolia"
"62","Passiflora suberosa"
"63","Pittosporum undulatum"
"64","Persoonia levis"
"65","Acacia saligna"
"66","Petrophile sessilis"
"67","Gompholobium glabratum"
"68","Brunoniella australis"
"69","Bossiaea heterophylla"
"70","Acacia longifolia"
"71","Brachyloma daphnoides"
"72","Dodonaea triquetra"
"73","Exocarpos cupressiformis"
"74","Hypericum perforatum"
"75","Cirsium vulgare"
"76","Eucalyptus moluccana"
"77","Cheilanthes sieberi"
"78","Euchiton sphaericus"
"79","Grevillea sericea"
"80","Cerastium glomeratum"
"81","Epacris pulchella"
"82","Callicoma serratifolia"
"83","Commelina cyanea"
"84","Glochidion ferdinandi"
"85","Paspalidium distans"
"86","Lonicera japonica"
"87","Lotus subbiflorus"
"88","Calochilus campestris"
"89","Ageratina adenophora"
"90","Calotis lappulacea"
"91","Dampiera stricta"
"92","Medicago polymorpha"
"93","Acacia terminalis"
"94","Lissanthe strigosa subsp. subulata"
"95","Sarcopetalum harveyanum"
"96","Opuntia monacantha"
"97","Breynia oblongifolia"
"98","Araujia sericifera"
"99","Melaleuca thymifolia"
"100","Gompholobium grandiflorum"
"101","Polyscias sambucifolia"
"102","Cayratia clematidea"
"103","Actinotus minor"
"104","Verbena x brasiliensis"
"105","Persoonia nutans"
"106","Banksia serrata"
"107","Modiola caroliniana"
"108","Linum trigynum"
"109","Adiantum hispidulum"
"110","Glycine clandestina"
"111","Cotula australis"
"112","Conospermum longifolium"
"113","Senecio pterophorus"
"114","Dianella caerulea"
"115","Acacia prominens"
"116","Wahlenbergia gracilis"
"117","Fumaria capreolata"
"118","Bursaria spinosa"
"119","Pteridium esculentum"
"120","Petrorhagia dubia"
"121","Daviesia corymbosa"
"122","Asparagus officinalis"
"123","Isopogon anemonifolius"
"124","Billardiera scandens"
"125","Soliva sessilis"
"126","Verbena bonariensis"
"127","Callistemon salignus"
"128","Senna pendula var. glabrata"
"129","Acacia podalyriifolia"
"130","Foeniculum vulgare"
"131","Stenanthera pinifolia"
"132","Agapanthus praecox"
"133","Verbena rigida"
"134","Wahlenbergia capillaris"
"135","Pandorea pandorana"
"136","Corunastylis filiformis"
"137","Gomphrena celosioides"
"138","Solanum stelligerum"
"139","Persoonia linearis"
"140","Tradescantia fluminensis"
"141","Pteris tremula"
"142","Eucalyptus punctata"
"143","Eragrostis brownii"
"144","Acacia decurrens"
"145","Callistemon linearis"
"146","Dodonaea viscosa"
"147","Asparagus asparagoides"
"148","Caladenia picta"
"149","Opercularia diphylla"
"150","Stylidium graminifolium"
"151","Themeda triandra"
"152","Vittadinia cuneata"
"153","Allium triquetrum"
"154","Homalanthus populifolius"
"155","Cassinia aureonitens"
"156","Brassica fruticulosa"
"157","Pellaea falcata"
"158","Coleus australis"
"159","Lantana camara"
"160","Pimelea linifolia"
"161","Passiflora morifolia"
"162","Lambertia formosa"
"163","Xanthosia pilosa"
"164","Epidendrum radicans"
"165","Vitex trifolia"
"166","Nothoscordum gracile"
"167","Pomaderris ferruginea"
"168","Einadia hastata"
