Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name,__source,year,decimals,precision_tier
30776,Acacia pubescens,2009-09-16T00:00:00,DPIE Data from Scientific Licences dataset,Carysfield,-33.901327,150.997818,,,,occurrenceRemarks withheld,2009.0,9.0,16.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2009,6,<1 m (6+ dp)
7689,Stylidium graminifolium,2021-12-30T15:25:00,iNaturalist research-grade observations,Not in a reserve,-33.97498,151.02919,,flowers,,,2021.0,12.0,30.0,,,,,Bradley W. Jones,2022-06-28T09:23:18Z,,HUMAN_OBSERVATION,,Bradley W. Jones,CB Council,iNaturalist,2021,5,≈1–10 m (5 dp)
23924,Acacia linifolia,2009-11-12T00:00:00,DPIE Default Sightings,Salt Pan Reserve,-33.96298,151.04025,,,,occurrenceRemarks withheld,2009.0,11.0,12.0,,,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OEMM09102201,CB Council,ALA,2009,5,≈1–10 m (5 dp)
33645,Paspalum dilatatum,2016-09-08T00:00:00,Ecoplanning Vegetation Survey,Not in a reserve,-33.887222,151.053333,,,introduced,occurrenceRemarks withheld,2016.0,9.0,8.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Ecoplanning P/L,HUMAN_OBSERVATION,,OPUR16031000,CB Council,ALA,2016,6,<1 m (6+ dp)
10650,Rhaphiolepis indica,2021-03-31T14:14:22,iNaturalist observations,Not in a reserve,-33.923794,151.121611,,,,,2021.0,3.0,31.0,,,,,,,,HUMAN_OBSERVATION,,etet,CB Council,iNaturalist,2021,6,<1 m (6+ dp)
4037,Acacia pubescens,2010-01-15T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.89215,150.974213,,,,occurrenceRemarks withheld,2010.0,1.0,15.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2010,6,<1 m (6+ dp)
29877,Cyclospermum leptophyllum,2011-04-13T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.951399,150.974736,,,introduced,occurrenceRemarks withheld,2011.0,4.0,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OEMM09100802;OEMM09100803;OJJS10080400;OIXR13062400,CB Council,ALA,2011,6,<1 m (6+ dp)
41675,Pittosporum revolutum,2004-05-01T12:00:00,The Crest-Appendix,Bellevue,-33.910871,150.998776,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
29088,Araujia sericifera,2015-11-23T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.947766,150.991852,,,introduced,occurrenceRemarks withheld,2015.0,11.0,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP09120203,CB Council,ALA,2015,6,<1 m (6+ dp)
22939,Casuarina glauca,2014-02-05T00:00:00,ACA Vegetation Survey,Deepwater,-33.949588,150.97427,,,,occurrenceRemarks withheld,2014.0,2.0,5.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Anne Clements & Associates,HUMAN_OBSERVATION,,OEMM09100802;OIXR13100400,CB Council,ALA,2014,6,<1 m (6+ dp)
