Species Name,Family,Genus,Local Status,Fire Traits
Abutilon grandifolium,Malvaceae,Abutilon,exotic,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (1)'}"
Abutilon oxycarpum,Malvaceae,Abutilon,native,"{'post_fire_recruitment': 'post_fire_recruitment (2); post_fire_recruitment_absent (2)', 'resprouting_capacity': 'fire_killed (5)'}"
Abutilon theophrasti,Malvaceae,Abutilon,exotic,{'resprouting_capacity': 'fire_killed (f)'}
Acacia baileyana,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_fruiting': '46.046511627907 (1)', 'fire_time_from_fire_to_flowering': '31.3953488372093 (1); 36.2790697674419 (1); 48.3720930232558 (1)'}"
Acacia binervia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_fruiting': '46.046511627907 (1)', 'fire_time_from_fire_to_flowering': '33.0232558139535 (1); 36.2790697674419 (1); 48.3720930232558 (1)'}"
Acacia boormanii,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia brownii,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia burkittii,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia buxifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (4)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '24 (2)'}"
Acacia bynoeana,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (g)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia cultriformis,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia dealbata,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (V)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '0 (V)'}"
Acacia decurrens,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia echinula,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '43.2558139534884 (1)'}"
Acacia elata,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia elongata,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia falcata,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_fruiting': '20.9302325581395 (1)', 'fire_time_from_fire_to_flowering': '24.1860465116279 (1); 36.2790697674419 (1)'}"
Acacia falciformis,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (4)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia filicifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'fire_killed (1); partial_resprouting (1); resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia fimbriata,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia floribunda,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '30 (1); 31.3953488372093 (1)'}"
Acacia genistifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '36 (1)'}"
Acacia hispidula,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_fruiting': '28.8372093023256 (1)', 'fire_time_from_fire_to_flowering': '14.1860465116279 (1); 36.2790697674419 (1)'}"
Acacia implexa,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia irrorata,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia iteaphylla,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia linearifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia linifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_fruiting': '22.5581395348837 (1)', 'fire_time_from_fire_to_flowering': '13.0232558139535 (1); 24.1860465116279 (1); 36.2790697674419 (1)'}"
Acacia longifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia longissima,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_fruiting': '39.3023255813954 (1)', 'fire_time_from_fire_to_flowering': '35.5813953488372 (1)'}"
Acacia maidenii,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia mearnsii,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V); resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia myrtifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (4)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_fruiting': '34.6511627906977 (1)', 'fire_time_from_fire_to_flowering': '21 (1); 30.4651162790698 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_flowering_decline': '72 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1)'}"
Acacia parramattensis,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia parvipinnula,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '31.3953488372093 (1)'}"
