Trait Name,Description,Species with Data,Coverage %,Unique Values,V-Marked Count,Most Common Values
plant_tolerance_fire,Plant tolerance to fire - indicates how well a species can survive fire,0/1629,0.0%,0,0,None
post_fire_recruitment,Post-fire recruitment - ability to establish new individuals after fire,1040/1629,63.8%,16,43,"['post_fire_recruitment (1)', 'post_fire_recruitment (f)', 'post_fire_recruitment (2)']"
post_fire_flowering,Post-fire flowering - flowering response after fire events,86/1629,5.3%,6,1,"['fire_enhanced_flowering (f)', 'fire_enhanced_flowering (1)', 'fire_suppressed_flowering (1)']"
resprouting_capacity,Resprouting capacity - ability to regrow from surviving plant parts after fire,1428/1629,87.7%,42,339,"['resprouts (V)', 'resprouts (1)', 'fire_killed (V)']"
resprouting_capacity_non_fire_disturbance,Resprouting capacity for non-fire disturbances,976/1629,59.9%,11,0,"['resprouts_non_fire_disturbance (f)', 'resprouts_non_fire_disturbance (1)', 'resprouts_non_fire_disturbance (2)']"
resprouting_capacity_juvenile,Resprouting capacity of juvenile plants,837/1629,51.4%,10,1,"['juvenile_fire_killed (f)', 'juvenile_fire_killed (1)', 'juvenile_resprout (f)']"
resprouting_capacity_proportion_individuals,Proportion of individuals that can resprout,182/1629,11.2%,20,15,"['1 (f)', '1 (3)', '0 (V)']"
resprouting_capacity_time_from_germination,Time from germination to resprouting capacity,0/1629,0.0%,0,0,None
fire_time_from_fire_to_fruiting,Time from fire to fruiting - how long after fire before fruiting,412/1629,25.3%,123,4,"['10 (1)', '11.3953488372093 (1)', '11.8604651162791 (1)']"
fire_time_from_fire_to_flowering,Time from fire to flowering - how long after fire before flowering,828/1629,50.8%,382,31,"['12 (f)', '12 (1)', '12 (V)']"
fire_time_from_fire_to_flowering_decline,Time from fire to flowering decline,2/1629,0.1%,1,0,['72 (1)']
fire_time_from_fire_to_50_percent_flowering,Time from fire to 50% flowering,13/1629,0.8%,11,0,"['20 (1)', '24.1860465116279 (1)', '11.3953488372093 (1)']"
fire_time_from_fire_to_50_percent_fruiting,Time from fire to 50% fruiting,0/1629,0.0%,0,0,None
fire_time_from_fire_to_peak_flowering,Time from fire to peak flowering,85/1629,5.2%,15,0,"['36 (1); 60 (1)', '48 (1); 72 (1)', '48 (1)']"
