trait_name,trait_value,Species Count
sex_type,hermaphrodite (1),678
resprouting_capacity_non_fire_disturbance,resprouts_non_fire_disturbance (f),608
parasitic,not_parasitic (1),551
plant_physical_defence_structures,absent (1),542
vegetative_reproduction_ability,not_vegetative (1),377
nitrogen_fixing,non_nitrogen_fixer (1),365
pollination_system,biotic_unspecialised (f),344
resprouting_capacity_juvenile,juvenile_fire_killed (f),334
parasitic,not_parasitic (f),332
seedbank_location,soil_seedbank (1),326
plant_physical_defence_structures,absent (f),319
seedling_establishment_conditions,establish_anytime (1),312
seed_germination,1 (f),308
seedbank_location,soil_seedbank (f),299
post_fire_recruitment,post_fire_recruitment (1),294
post_fire_recruitment,post_fire_recruitment (f),292
flower_structural_sex_type,bisexual (f),286
plant_tolerance_water_logged_soils,not_applicable (f),286
clonal_spread_mechanism,non_clonal (f),286
life_history,perennial (3),275
nitrogen_fixing,non_nitrogen_fixer (f),272
seedling_establishment_conditions,establish_anytime (f),272
vegetative_reproduction_ability,not_vegetative (f),255
plant_tolerance_snow,not_applicable (1),254
resprouting_capacity_non_fire_disturbance,resprouts_non_fire_disturbance (1),253
root_structure,arbuscular_mycorrhizal (f),252
life_history,perennial (2),244
seedbank_longevity,2-- (1),242
root_system_type,tap_root_present (f),236
pollination_syndrome,insect (f),232
pollination_syndrome,insect (1),230
seedbank_longevity_class,persistent (1),223
life_history,perennial (4),223
plant_tolerance_snow,not_applicable (f),218
plant_tolerance_salt,salinity_tolerance_undefined (1),215
plant_tolerance_inundation,not_applicable (1),211
plant_tolerance_water_logged_soils,not_applicable (1),211
plant_tolerance_inundation,less_than_1_month (1),206
plant_tolerance_salt,salinity_tolerance_undefined (f),204
storage_organ,rhizome (f),204
fire_time_from_fire_to_flowering,12 (f),203
resprouting_capacity_juvenile,juvenile_fire_killed (1),192
nitrogen_fixing,non_nitrogen_fixer (2),188
resprouting_capacity,resprouts (V),181
root_structure,arbuscular_mycorrhizal (1),181
pollination_syndrome,insect (2),180
seedbank_longevity_class,persistent (f),180
seedbank_longevity,--2 (1),176
sex_type,hermaphrodite (V),175
plant_tolerance_snow,days (1),175
pollination_system,biotic_unspecialised (1),174
serotiny,not_serotinous (1),173
plant_tolerance_salt,glycophyte (1),171
pollination_system,abiotic (f),171
flower_colour,yellow_orange (1),168
plant_tolerance_inundation,not_applicable (f),167
flower_structural_sex_type,bisexual (1),165
seedbank_longevity,2-- (f),161
plant_tolerance_inundation,less_than_1_month (f),161
resprouting_capacity_juvenile,juvenile_resprout (f),159
bud_bank_location,none (f),158
vegetative_reproduction_ability,not_vegetative (2),157
flowering_cues,rain (f),154
seedbank_longevity_class,transient (1),154
leaf_type,broadleaf (1),153
plant_growth_form,herb (V),153
competitive_stratum,ground (f),153
reproductive_maturity,1--5 (1),149
clonal_spread_mechanism,non_clonal (1),148
root_system_type,tap_root_absent (f),148
flower_colour,white_cream (1),145
plant_growth_form,shrub (V),142
plant_growth_form,graminoid (V),138
resprouting_capacity,resprouts (1),138
plant_physical_defence_structures,absent (2),136
resprouting_capacity_proportion_individuals,1 (f),135
plant_tolerance_salt,glycophyte (f),134
bud_bank_location,rhizome (f),134
life_history,perennial (V),132
parasitic,not_parasitic (2),130
flower_colour,white_cream (f),129
fruit_colour,brown (f),129
lifespan,<50 (f),129
life_history,perennial (5),126
plant_tolerance_snow,days (f),126
plant_tolerance_water_logged_soils,less_than_1_month (1),126
plant_tolerance_calcicole,calcifuge (f),125
resprouting_capacity,fire_killed (V),122
seedbank_longevity_class,persistent (2),121
bud_bank_location,none (1),120
reproductive_maturity,1--5 (f),118
dispersers,wind (f),116
resprouting_capacity,resprouts (3),115
seedbank_longevity,--2 (f),112
resprouting_capacity_juvenile,juvenile_resprout (1),112
vegetative_reproduction_ability,vegetative (1),111
post_fire_recruitment,post_fire_recruitment (2),108
stem_growth_habit,erect (V),107
dispersal_syndrome,anemochory (f),106
clonal_spread_mechanism,belowground_clonal (f),105
resprouting_capacity,resprouts (f),104
stem_growth_habit,erect (1),104
lifespan,<50 (1),104
root_structure,non_mycorrhizal (1),102
seed_germination_treatment,none (f),101
nitrogen_fixing,non_nitrogen_fixer (3),101
resprouting_capacity,fire_killed (1),101
seed_dormancy_class,physical_dormancy (1),100
seed_germination_treatment,heat (1),100
sex_type,hermaphrodite (f),98
post_fire_recruitment,post_fire_recruitment_absent (1),95
plant_height,1 (V),95
life_history,perennial (6),94
stem_growth_habit,prostrate (1),94
storage_organ,lignotuber (f),94
dispersers,wind (1),93
seedbank_longevity_class,persistent (V),93
lifespan,50--100 (1),93
seed_dormancy_class,non_dormant (1),93
seedbank_longevity_class,transient (f),90
root_structure,ectomycorrhizal (f),90
plant_tolerance_water_logged_soils,1-6_months (1); less_than_1_month (1),90
pollination_system,abiotic (1),89
resprouting_capacity,resprouts (2),88
seed_dormancy_class,physiological_dormancy (1),88
serotiny,not_serotinous (f),84
life_history,annual (V),84
dispersers,mammals (f),84
dispersal_syndrome,anemochory (1),83
dispersal_syndrome,myrmecochory (V),83
stem_growth_habit,prostrate (f),82
resprouting_capacity,fire_killed (2),82
plant_growth_form,herb (6),81
resprouting_capacity,resprouts (4),80
plant_growth_form,tree (V),80
plant_tolerance_salt,halophyte_moderate (1),80
bud_bank_location,basal_stem_buds (V),79
storage_organ,rhizome (1),78
reproductive_maturity,5--20 (1),75
seedbank_location,canopy_seedbank (1),74
seedling_establishment_conditions,establish_post_fire (f),72
sex_type,hermaphrodite (2),72
life_history,perennial (1),72
resprouting_capacity,fire_killed (f),72
flower_colour,red_brown (1),72
lifespan,<50 (V),71
stem_growth_habit,prostrate (V),71
leaf_type,broadleaf (f),70
seedling_establishment_conditions,establish_post_fire (1),70
seedbank_location,soil_seedbank (2),68
reproductive_maturity,0--1 (1),68
reproductive_maturity,1--5 (V),68
fruit_colour,brown (1),67
seedbank_longevity,2-- (2),66
plant_tolerance_inundation,not_applicable (2),66
flower_colour,blue_purple (1),66
plant_tolerance_water_logged_soils,not_applicable (2),66
flowering_time,yynnnnnnyyyy (V),66
pollination_syndrome,insect (3),65
vegetative_reproduction_ability,not_vegetative (3),64
