scientific_name,Trait Count
Acacia suaveolens,47
Phragmites australis,47
Acacia myrtifolia,46
Hardenbergia violacea,46
Kennedia rubicunda,45
Glycine tabacina,45
Banksia marginata,45
Themeda triandra,45
Acacia terminalis,44
Acacia floribunda,44
Lotus angustissimus,44
Cymbopogon refractus,44
Lachnagrostis filiformis,44
Castanospermum australe,44
Exocarpos cupressiformis,44
Glycine clandestina,44
Acacia saligna,44
Platylobium formosum,44
Acacia baileyana,44
Lomandra longifolia,44
Pultenaea mollis,43
Aotus ericoides,43
Syncarpia glomulifera,43
Pultenaea daphnoides,43
Viminaria juncea,43
Acacia schinoides,43
Acacia ulicifolia,43
Microlaena stipoides,43
Anisopogon avenaceus,43
Pultenaea tuberculata,43
Senna pendula,43
Pultenaea stipularis,43
Acacia podalyriifolia,43
Paspalum dilatatum,43
Bossiaea scolopendria,43
Cynodon dactylon,43
Acacia falcata,43
Rytidosperma caespitosum,43
Acacia linifolia,43
Acacia longissima,43
Phyllota phylicoides,43
Acacia dealbata,43
Sporobolus virginicus,43
Daviesia ulicifolia,43
Angophora hispida,43
Correa reflexa,43
Dichelachne crinita,43
Dillwynia retorta,43
Ehrharta erecta,42
Gompholobium glabratum,42
Acacia genistifolia,42
Sporobolus creber,42
Eragrostis brownii,42
Entolasia stricta,42
Indigofera australis,42
Hovea longifolia,42
Imperata cylindrica,42
Eucalyptus camaldulensis,42
Allocasuarina littoralis,42
Genista monspessulana,42
Acacia binervia,42
Melinis repens,42
Mirbelia rubiifolia,42
Setaria parviflora,42
Melaleuca linariifolia,42
Medicago polymorpha,42
Polypogon monspeliensis,42
Chloris truncata,42
Corymbia gummifera,42
Kennedia prostrata,42
Ozothamnus diosmifolius,42
Paspalum urvillei,42
Panicum simile,42
Arundo donax,42
Dipogon lignosus,42
Pultenaea flexilis,42
Vicia tetrasperma,42
Dichelachne micrantha,42
Desmodium rhytidophyllum,42
Desmodium varians,42
Lolium perenne,42
Chloris ventricosa,42
Bothriochloa macra,42
Bossiaea heterophylla,42
Trifolium campestre,42
Briza minor,42
Tricoryne elatior,42
Psidium guajava,42
Chrysocephalum apiculatum,42
Callistemon viminalis,42
Avena fatua,42
Austrostipa ramosissima,42
Austrostipa elegantissima,42
Austromyrtus tenuifolia,42
Vicia hirsuta,42
Rytidosperma pallidum,42
Avena sativa,42
Acacia decurrens,42
Acacia parvipinnula,41
Acacia hispidula,41
Deyeuxia quadriseta,41
Bidens pilosa,41
Austrostipa verticillata,41
Austrostipa pubescens,41
Andropogon virginicus,41
Digitaria parviflora,41
Digitaria diffusa,41
Paspalum vaginatum,41
Paspalum quadrifarium,41
Dillwynia rudis,41
Dillwynia floribunda,41
Cortaderia selloana,41
Swainsona formosa,41
Paraserianthes lophantha,41
Kunzea capitata,41
Kunzea ambigua,41
Sporobolus fertilis,41
Sporobolus elongatus,41
Harmogia densifolia,41
Micromyrtus ciliata,41
Banksia serrata,41
Axonopus fissifolius,41
Phalaris aquatica,41
Echinochloa crus-galli,41
Jacksonia scoparia,41
Coronidium elatum,41
Corymbia ficifolia,41
Corymbia calophylla,41
Vicia sativa,41
Podolobium ilicifolium,41
Chloris gayana,41
Chloris barbata,41
Setaria italica,41
Melilotus indicus,41
Rytidosperma tenuius,41
Rytidosperma setaceum,41
Aristida warburgii,41
Aristida vagans,41
Aristida ramosa,41
Amphibromus neesii,41
Anthoxanthum odoratum,41
Anthosachne scabra,41
Sporobolus africanus,41
Echinopogon ovatus,41
Echinopogon caespitosus,41
Eragrostis curvula,41
Eragrostis cilianensis,41
Entolasia marginata,41
Enteropogon acicularis,41
Hovea linearis,41
Sigesbeckia orientalis,41
Setaria palmifolia,41
Rytidosperma bipartitum,41
Gompholobium grandiflorum,41
Chloris virgata,41
Eragrostis parviflora,41
Eragrostis mexicana,41
Eragrostis leptostachya,41
Chascolytrum subaristatum,41
Cassinia aculeata,41
Eucalyptus haemastoma,41
Calytrix tetragona,41
Pultenaea villosa,41
Pultenaea retusa,41
Sorghum halepense,41
Sorghum bicolor,41
Trifolium dubium,41
Calotis cuneifolia,41
Bossiaea ensata,41
Bromus catharticus,41
Briza maxima,41
Triticum aestivum,41
Callistemon salignus,41
Spinifex sericeus,41
Sorghum leiocladum,41
Glycine microphylla,41
Medicago arabica,41
Trifolium repens,41
Trifolium glomeratum,41
Acacia mearnsii,41
Acacia longifolia,41
Acacia implexa,41
Acacia prominens,41
Leptospermum trinervium,41
Acacia burkittii,40
Zoysia macrantha,40
Acacia fimbriata,40
Acacia elata,40
Acacia echinula,40
Acacia cultriformis,40
Acacia buxifolia,40
Acacia saliciformis,40
Acacia rubida,40
Acacia pycnantha,40
Acacia maidenii,40
Xerochrysum bracteatum,40
Polypogon viridis,40
Acacia stricta,40
Agrostis capillaris,40
Acacia pubescens,40
Avena sterilis,40
Phyllota grandiflora,40
Acacia iteaphylla,40
Acacia irrorata,40
Callistemon citrinus,40
Acacia vestita,40
Hypochaeris radicata,40
Melaleuca squarrosa,40
Trifolium subterraneum,40
Acacia elongata,40
Pseudognaphalium luteoalbum,40
Bromus diandrus,40
Bromus brevis,40
Tristaniopsis laurina,40
Bromus rubens,40
Agonis flexuosa,40
Gleditsia triacanthos,40
Robinia pseudoacacia,40
Acacia parramattensis,40
Rytidosperma fulvum,40
Rytidosperma monticola,40
Chorizema cordatum,40
Nassella neesiana,40
Rostraria cristata,40
Setaria pumila,40
Rytidosperma pilosum,40
Ehrharta longiflora,40
Eucalyptus piperita,40
Eucalyptus pilularis,40
Capillipedium spicigerum,40
Eucalyptus crebra,40
Eucalyptus sideroxylon,40
Cenchrus longisetus,40
Eucalyptus grandis,40
Cenchrus clandestinus,40
Erythrina crista-galli,40
Capillipedium parviflorum,40
Eucalyptus paniculata,40
Bursaria spinosa,40
Eucalyptus viminalis,40
Sonchus oleraceus,40
Oplismenus hirtellus,40
Eriochloa pseudoacrotricha,40
Eragrostis elongata,40
Eragrostis laniflora,40
Entolasia whiteana,40
Hovea heterophylla,40
Chamelaucium uncinatum,40
Cenchrus setaceus,40
Rytidosperma longifolium,40
Melaleuca ericifolia,40
Bothriochloa decipiens,40
Leptospermum arachnoides,40
Leptospermum grandifolium,40
Leptospermum laevigatum,40
Cenchrus purpurascens,40
Daviesia acicularis,40
Dichelachne sieberiana,40
Dactylis glomerata,40
Dactyloctenium aegyptium,40
Daviesia corymbosa,40
Daviesia genistifolia,40
Digitaria ramularis,40
Digitaria eriantha,40
Daviesia squarrosa,40
Deyeuxia appressa,40
Vulpia myuros,40
Senna septemtrionalis,40
Phyllostachys nigra,40
Urochloa panicoides,40
Senna clavigera,40
Hemarthria uncinata,40
Paspalum notatum,40
Lachnagrostis aemula,40
Paspalidium criniforme,40
Paspalidium distans,40
Paspalidium gracile,40
Stenotaphrum secundatum,40
Pultenaea microphylla,40
Axonopus compressus,40
Phalaris canariensis,40
Megathyrsus maximus,40
Poa annua,40
Poa labillardierei,40
Paspalidium caespitosum,40
Corymbia eximia,40
Poa sieberiana,40
Poa pratensis,40
Eleusine tristachya,40
Eleusine indica,40
Hordeum glaucum,40
Hordeum hystrix,40
Syzygium paniculatum,40
Syzygium smithii,40
Poa affinis,40
Polypogon lutosus,40
Hyparrhenia hirta,40
Holcus lanatus,40
Saccharum officinarum,40
Bauera rubioides,40
Rytidosperma racemosum,40
Rytidosperma semiannulare,40
Lolium rigidum,40
Lolium multiflorum,40
Lolium arundinaceum,40
Aristida calycina,40
Acacia pravissima,40
Dianella revoluta,40
Dichanthium sericeum,40
Leptospermum polygalifolium,40
Vulpia bromoides,40
Avena barbata,40
Austrostipa setacea,40
Austrostipa rudis,40
Aira caryophyllea,40
Aira cupaniana,40
Vulpia muralis,40
Lagurus ovatus,40
Medicago minima,40
Angophora bakeri,40
Digitaria velutina,40
Digitaria sanguinalis,40
Oxytes brachypoda,40
Pandorea pandorana,40
Digitaria aequiglumis,40
Digitaria ciliaris,40
Digitaria didactyla,40
Dichelachne rara,40
Dichelachne inaequiglumis,40
Dichelachne parva,40
Dillwynia sericea,40
Digitaria violascens,40
Panicum effusum,40
Parapholis incurva,40
Eucalyptus obstans,39
Eucalyptus nicholii,39
Eucalyptus elata,39
Trifolium arvense,39
Callistemon linearis,39
Vittadinia cuneata,39
Glossocardia bidens,39
Melaleuca nodosa,39
Melaleuca leucadendra,39
Trifolium pratense,39
Ageratina adenophora,39
Almaleea paludosa,39
Genista linifolia,39
Acacia brownii,39
Acacia linearifolia,39
Acacia bynoeana,39
Acacia filicifolia,39
Acacia falciformis,39
Leptospermum scoparium,39
Melaleuca quinquenervia,39
Rhodamnia rubescens,39
Spartium junceum,39
Euchiton sphaericus,39
Euryomyrtus ramosissima,39
Pultenaea scabra,39
Pyrorchis nigricans,39
Pultenaea pedunculata,39
Bossiaea buxifolia,39
Bossiaea rhombifolia,39
Bossiaea prostrata,39
Eucalyptus amplifolia,39
Ageratina riparia,39
Mirbelia speciosa,39
Mirbelia baueri,39
Callistemon sieberi,39
Eucalyptus sieberi,39
Eclipta prostrata,39
Hovea purpurea,39
Hovea speciosa,39
Chrysocephalum semipapposum,39
Chorizema parviflorum,39
Erigeron bonariensis,39
Olearia microphylla,39
Gompholobium inconspicuum,39
Sannantha pluriflora,39
Cassinia longifolia,39
Eucalyptus resinifera,39
Eucalyptus robusta,39
Eucalyptus melliodora,39
Eucalyptus globoidea,39
Baeckea diosmifolia,39
Melilotus albus,39
Coreopsis lanceolata,39
Bidens subalternans,39
Pultenaea hispidula,39
Pultenaea linophylla,39
Pultenaea paleacea,39
Syzygium australe,39
Centipeda minima,39
Comesperma ericinum,39
Hypericum gramineum,39
Bauhinia variegata,39
Linum marginale,39
Leptospermum lanigerum,39
Syzygium moorei,39
Baeckea linifolia,39
