Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name
6869,Abutilon grandifolium,2023-07-06T11:15:37,iNaturalist observations,Not in a reserve,-33.940614,151.041432,,flowers|fruits or seeds,,,2023,7,6,,,,,,,,HUMAN_OBSERVATION,,robyn_young,CB Council
7245,Abutilon grandifolium,2020-05-28T12:27:13,iNaturalist research-grade observations,Not in a reserve,-33.940645,151.041778,,,,,2020,5,28,,,,,Thomas Mesaglio,2021-02-09T07:08:29Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council
9008,Abutilon grandifolium,2021-10-22T12:35:00,iNaturalist research-grade observations,Not in a reserve,-33.940711,151.041794,,,,,2021,10,22,,,,,Thomas Mesaglio,2021-10-26T06:01:32Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council
7945,Abutilon grandifolium,2021-10-22T12:36:00,iNaturalist research-grade observations,Not in a reserve,-33.940644,151.041472,,,,,2021,10,22,,,,,Thomas Mesaglio,2021-10-26T06:01:33Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council
8017,Abutilon grandifolium,2021-02-09T10:58:00,iNaturalist research-grade observations,Not in a reserve,-33.940601,151.041046,,,,,2021,2,9,,,,,Guy Taseski,2021-02-09T07:02:44Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council
11501,Abutilon grandifolium,2008-08-14T00:00:00,,Not in a reserve,-33.901144,151.107681,,,,Shrub to c. 1.5 m high.,2008,8,14,Disturbed roadside.,,,,"Hemmings, F.A.",2/2/2009,,PRESERVED_SPECIMEN,,"Choi, T.J.",CB Council
12040,Abutilon oxycarpum,1971-12-11T00:00:00,,Not in a reserve,-33.916667,151.116667,,flowers|fruits,native,Shrub 1-2 m.,1971,12,11,,,"Turrella Station, Arncliffe, near Sydney.",,,,,PRESERVED_SPECIMEN,,"Fletcher, M.J.",CB Council
35533,Abutilon spp.,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Amaroo,-33.908,150.982962,,,,,2004,5,1,,,,,,,,,,,CB Council
31676,Abutilon theophrasti,2020-04-03T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.977766,150.996904,,,introduced,occurrenceRemarks withheld,2020,4,3,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS18050102;OJJS20082503,CB Council
35534,Acacia baileyana,2004-05-01T12:00:00,CondellPark Flora&Fauna Apndx4 POM,Marion Reserve,-33.914839,151.010151,,,,,2004,5,1,,,,,,,,,,,CB Council
22949,Acacia baileyana,2008-04-28T00:00:00,DPIE Data from Scientific Licences dataset,Carysfield,-33.902161,150.998009,,,,occurrenceRemarks withheld,2008,4,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS07082200,CB Council
33310,Acacia baileyana,2008-04-30T00:00:00,DPIE Data from Scientific Licences dataset,Norfolk Reserve,-33.893591,151.06261,,,,occurrenceRemarks withheld,2008,,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS07082200,CB Council
24640,Acacia baileyana,2004-01-16T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.910549,150.988188,,,,occurrenceRemarks withheld,2004,1,16,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP04110301,CB Council
29978,Acacia baileyana,2007-12-07T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.921721,150.997022,,,,occurrenceRemarks withheld,2007,12,7,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP08080501,CB Council
19719,Acacia baileyana,2008-12-07T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.921711,150.997024,,,,occurrenceRemarks withheld,2008,12,7,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP08080501,CB Council
19721,Acacia baileyana,2011-05-11T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.944108,151.067477,,,,occurrenceRemarks withheld,2011,5,11,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OIXR13121102,CB Council
19313,Acacia baileyana,2019-06-06T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.887291,151.047838,,,,occurrenceRemarks withheld,2019,6,6,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OPUR19032102,CB Council
17758,Acacia baileyana,2022-12-20T13:00:00,Individual sighting,Not in a reserve,-33.977921,150.999724,1,,,,2022,12,20,,,,nullnull,,,,HUMAN_OBSERVATION,,Michael Hains,CB Council
17891,Acacia baileyana,2022-12-20T13:00:00,Individual sighting,Not in a reserve,-33.977921,150.999724,1,,,,2022,12,20,,,,nullnull,,,,HUMAN_OBSERVATION,,Michael Hains,CB Council
18320,Acacia baileyana,2022-12-20T13:00:00,Individual sighting,Not in a reserve,-33.977921,150.999724,1,,,,2022,12,20,,,,nullnull,,,,HUMAN_OBSERVATION,,Michael Hains,CB Council
35536,Acacia baileyana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council
35535,Acacia baileyana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council
35537,Acacia baileyana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.900525,150.97568,,,,,2004,5,1,,,,,,,,,,,CB Council
35538,Acacia baileyana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council
35539,Acacia baileyana,2004-05-01T12:00:00,Norfolk Flora&Fauna Apndx3 POM,Norfolk Reserve,-33.893604,151.062656,,,,,2004,5,1,,,,,,,,,,,CB Council
